
2024/08/22 (18:42:48) | ===> btop++ v.1.3.2
2024/08/22 (18:42:48) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/22 (18:42:48) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/22 (18:42:48) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/22 (18:42:48) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/22 (18:42:48) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/22 (18:42:48) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/22 (18:42:48) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/22 (19:14:40) | ===> btop++ v.1.3.2
2024/08/22 (19:14:40) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/22 (19:14:40) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/22 (19:14:40) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/22 (19:14:40) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/22 (19:14:40) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/22 (19:14:40) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/22 (19:14:40) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/23 (10:44:05) | ===> btop++ v.1.3.2
2024/08/23 (10:44:05) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (10:44:05) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/23 (10:44:05) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/23 (10:44:05) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (10:44:05) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/23 (10:44:05) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/23 (10:44:05) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/23 (13:16:53) | ===> btop++ v.1.3.2
2024/08/23 (13:16:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (13:16:53) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/23 (13:16:53) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/23 (13:16:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (13:16:53) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/23 (13:16:53) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/23 (13:16:53) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/23 (13:18:10) | ===> btop++ v.1.3.2
2024/08/23 (13:18:10) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (13:18:10) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/23 (13:18:10) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/23 (13:18:10) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (13:18:10) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/23 (13:18:10) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/23 (13:18:10) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/23 (13:19:06) | ===> btop++ v.1.3.2
2024/08/23 (13:19:06) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (13:19:06) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/23 (13:19:06) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/23 (13:19:06) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (13:19:06) | WARNING: ROCm SMI: Failed to get VRAM utilization
